PHP_PLUGIN;PHPI_FILE_BASE;PHPI_SENSITIVE_SINK;PHPI_LINE;PHPI_SENSITIVE_SINK_VULNERABILITY;executed_function_that_calls_the_function;parameters;function_that_calls_the_function;PHPI_START_LINE;lines_of_code;url_link
ource;advertizer.1.0/advertizer.php;register_activation_hook;14;UNKNOWN;executed;;function ();1;14  register_activation_hook( __FILE__, 'adv_v_base' )##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/advertizer.1.0/advertizer.php&line_mark=14&line_end=14&variable_name=register_activation_hook&text=File Functions#target_mark
ource;advertizer.1.0/advertizer.php;wp_enqueue_script;43;UNKNOWN;executed;;function ();1;43  wp_enqueue_script('adv_advertizer', WP_PLUGIN_URL . '/advertizer/js/advertizer.js.php', array('jquery'),'1.0' )##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/advertizer.1.0/advertizer.php&line_mark=43&line_end=43&variable_name=wp_enqueue_script&text=File Functions#target_mark
ource;advertizer.1.0/advertizer.php;wp_enqueue_script;44;UNKNOWN;executed;;function ();1;44  wp_enqueue_script('jquery-ui', WP_PLUGIN_URL . '/advertizer/js/jquery-ui-1.7.3.custom.min.js', array('jquery'),'1.0' )##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/advertizer.1.0/advertizer.php&line_mark=44&line_end=44&variable_name=wp_enqueue_script&text=File Functions#target_mark
ource;advertizer.1.0/advertizer.php;wp_enqueue_script;45;UNKNOWN;executed;;function ();1;45  wp_enqueue_script('jquery-datepicker', WP_PLUGIN_URL . '/advertizer/js/datepicker.js', array('jquery'),'1.0' )##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/advertizer.1.0/advertizer.php&line_mark=45&line_end=45&variable_name=wp_enqueue_script&text=File Functions#target_mark
ource;advertizer.1.0/advertizer.php;wp_enqueue_style;48;UNKNOWN;executed;;function ();1;48  wp_enqueue_style('datepick_opt_css', WP_PLUGIN_URL . '/advertizer/css/jquery-ui-1.7.3.custom.css')##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/advertizer.1.0/advertizer.php&line_mark=48&line_end=48&variable_name=wp_enqueue_style&text=File Functions#target_mark
ource;advertizer.1.0/advertizer.php;wp_enqueue_style;49;UNKNOWN;executed;;function ();1;49  wp_enqueue_style('personal_css', WP_PLUGIN_URL . '/advertizer/css/personal.css')##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/advertizer.1.0/advertizer.php&line_mark=49&line_end=49&variable_name=wp_enqueue_style&text=File Functions#target_mark
ource;advertizer.1.0/advertizer.php;add_action;62;UNKNOWN;executed;;function ();1;62  add_action('admin_menu', 'adv_v_gen')##    ;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/advertizer.1.0/advertizer.php&line_mark=62&line_end=62&variable_name=add_action&text=File Functions#target_mark
ource;advertizer.1.0/advertizer.php;$wpdb->query;17;SQL Injection;not executed;$wpdb, prefix;adv_v_base ($wpdb, prefix);15;17  $res = $wpdb->query("CREATE TABLE `".$wpdb->prefix."adv_v_base` (;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/advertizer.1.0/advertizer.php&line_mark=17&line_end=17&variable_name=$wpdb->query&text=File Functions#target_mark
ource;advertizer.1.0/advertizer.php;die;37;Cross Site Scripting;not executed;;adv_v_base ();15;37  if(!res) die('Cant create tabe')##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/advertizer.1.0/advertizer.php&line_mark=37&line_end=37&variable_name=die&text=File Functions#target_mark
ource;advertizer.1.0/advertizer.php;add_options_page;64;UNKNOWN;not executed;;adv_v_gen ();63;64  add_options_page('Advertizer Featured', 'Advertizer  <img src="'.WP_PLUGIN_URL .'/advertizer/images/advert.gif"  />', 'manage_options', 'add_v_advertizing', 'add_ads_v_advert')##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/advertizer.1.0/advertizer.php&line_mark=64&line_end=64&variable_name=add_options_page&text=File Functions#target_mark
ource;advertizer.1.0/advertizer.php;echo;72;Cross Site Scripting;not executed;;add_ads_v_advert ();71;72       echo '<input class="button-primary" type="button" value="Show Form" id="show_add_form">;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/advertizer.1.0/advertizer.php&line_mark=72&line_end=72&variable_name=echo&text=File Functions#target_mark
ource;advertizer.1.0/advertizer.php;echo;116;Cross Site Scripting;not executed;;get_ads_v_stat ();115;116  echo 'get ads list adb'##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/advertizer.1.0/advertizer.php&line_mark=116&line_end=116&variable_name=echo&text=File Functions#target_mark
ource;advertizer.1.0/advertizer.php;echo;125;Cross Site Scripting;not executed;;view_calendar ();124;125   echo 'View calendar'##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/advertizer.1.0/advertizer.php&line_mark=125&line_end=125&variable_name=echo&text=File Functions#target_mark
