PHP_PLUGIN;PHPI_FILE_BASE;PHPI_SENSITIVE_SINK;PHPI_LINE;PHPI_SENSITIVE_SINK_VULNERABILITY;executed_function_that_calls_the_function;parameters;function_that_calls_the_function;PHPI_START_LINE;lines_of_code;url_link
ource;ajaxgallery.3.0/ajaxgallery.php;get_settings;26;UNKNOWN;executed;;function ();1;26  $galleryurl = get_settings('siteurl')."/wp-content/plugins/ajaxgallery"##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/ajaxgallery.php&line_mark=26&line_end=26&variable_name=get_settings&text=File Functions#target_mark
ource;ajaxgallery.3.0/ajaxgallery.php;add_action;29;UNKNOWN;executed;;function ();1;29  add_action('admin_menu', 'mt_add_pages')##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/ajaxgallery.php&line_mark=29&line_end=29&variable_name=add_action&text=File Functions#target_mark
ource;ajaxgallery.3.0/ajaxgallery.php;add_action;38;UNKNOWN;executed;;function ();1;38  add_action('the_content', 'ajaxgallery')##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/ajaxgallery.php&line_mark=38&line_end=38&variable_name=add_action&text=File Functions#target_mark
ource;ajaxgallery.3.0/ajaxgallery.php;add_action;39;UNKNOWN;executed;;function ();1;39  add_action('wp_head', 'ag_head')##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/ajaxgallery.php&line_mark=39&line_end=39&variable_name=add_action&text=File Functions#target_mark
ource;ajaxgallery.3.0/ajaxgallery.php;add_menu_page;35;UNKNOWN;not executed;$galleryurl;mt_add_pages ($galleryurl);31;35  	add_menu_page('Lista de Galerias', 'Ajax Gallery', 8, $galleryurl . '/utils/list.php')##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/ajaxgallery.php&line_mark=35&line_end=35&variable_name=add_menu_page&text=File Functions#target_mark
ource;ajaxgallery.3.0/ajaxgallery.php;add_submenu_page;36;UNKNOWN;not executed;$galleryurl, $galleryurl;mt_add_pages ($galleryurl, $galleryurl);31;36  	add_submenu_page( $galleryurl . '/utils/list.php', 'Nueva galeria', 'Nueva Galeria', 8, $galleryurl . '/utils/options.php')##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/ajaxgallery.php&line_mark=36&line_end=36&variable_name=add_submenu_page&text=File Functions#target_mark
ource;ajaxgallery.3.0/utils/content.php;dirname;27;UNKNOWN;executed;;function ();1;27  include_once(dirname(__FILE__).'/../../../../' .'wp-config.php')##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/content.php&line_mark=27&line_end=27&variable_name=dirname&text=File Functions#target_mark
ource;ajaxgallery.3.0/utils/content.php;dirname;28;UNKNOWN;executed;;function ();1;28  include_once(dirname(__FILE__).'/../../../../' .'wp-includes/wp-db.php')##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/content.php&line_mark=28&line_end=28&variable_name=dirname&text=File Functions#target_mark
ource;ajaxgallery.3.0/utils/content.php;$wpdb->get_results;65;UNKNOWN;not executed;$wpdb, options;ajaxgallery ($wpdb, options);62;65    $gItems = $wpdb->get_results("SELECT * FROM $wpdb->options WHERE option_name='agItem'")##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/content.php&line_mark=65&line_end=65&variable_name=$wpdb->get_results&text=File Functions#target_mark
ource;ajaxgallery.3.0/utils/content.php;split;68;UNKNOWN;not executed;$gItem, option_value;ajaxgallery ($gItem, option_value);62;68      $gItemsopc = split( ":", $gItem->option_value )##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/content.php&line_mark=68&line_end=68&variable_name=split&text=File Functions#target_mark
ource;ajaxgallery.3.0/utils/content.php;trim;75;UNKNOWN;not executed;$options;ajaxgallery ($options);62;75      $options['isAlbum'] = (trim($options['album']) == "") ? "false" : "true"##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/content.php&line_mark=75&line_end=75&variable_name=trim&text=File Functions#target_mark
ource;ajaxgallery.3.0/utils/content.php;str_replace;78;UNKNOWN;not executed;$gItem, option_id, $gItem, option_id, $options, $content;ajaxgallery ($gItem, option_id, $gItem, option_id, $options, $content);62;78      $content = str_replace('[ajax_gallery id='. $gItem->option_id .']', GBody($gItem->option_id, $options), $content)##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/content.php&line_mark=78&line_end=78&variable_name=str_replace&text=File Functions#target_mark
ource;ajaxgallery.3.0/utils/content.php;GBody;78;UNKNOWN;not executed;$gItem, option_id, $options;ajaxgallery ($gItem, option_id, $options);62;78      $content = str_replace('[ajax_gallery id='. $gItem->option_id .']', GBody($gItem->option_id, $options), $content)##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/content.php&line_mark=78&line_end=78&variable_name=GBody&text=File Functions#target_mark
