PHP_PLUGIN;PHPI_FILE_BASE;PHPI_SENSITIVE_SINK;PHPI_LINE;PHPI_SENSITIVE_SINK_VULNERABILITY;executed_function_that_calls_the_function;parameters;function_that_calls_the_function;PHPI_START_LINE;lines_of_code;url_link
ource;ajaxgallery.3.0/utils/content.php;dirname;27;UNKNOWN;executed;;function ();1;27  include_once(dirname(__FILE__).'/../../../../' .'wp-config.php')##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/content.php&line_mark=27&line_end=27&variable_name=dirname&text=File Functions#target_mark
ource;ajaxgallery.3.0/utils/content.php;dirname;28;UNKNOWN;executed;;function ();1;28  include_once(dirname(__FILE__).'/../../../../' .'wp-includes/wp-db.php')##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/content.php&line_mark=28&line_end=28&variable_name=dirname&text=File Functions#target_mark
ource;ajaxgallery.3.0/utils/content.php;$wpdb->get_results;65;UNKNOWN;not executed;$wpdb, options;ajaxgallery ($wpdb, options);62;65    $gItems = $wpdb->get_results("SELECT * FROM $wpdb->options WHERE option_name='agItem'")##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/content.php&line_mark=65&line_end=65&variable_name=$wpdb->get_results&text=File Functions#target_mark
ource;ajaxgallery.3.0/utils/content.php;split;68;UNKNOWN;not executed;$gItem, option_value;ajaxgallery ($gItem, option_value);62;68      $gItemsopc = split( ":", $gItem->option_value )##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/content.php&line_mark=68&line_end=68&variable_name=split&text=File Functions#target_mark
ource;ajaxgallery.3.0/utils/content.php;trim;75;UNKNOWN;not executed;$options;ajaxgallery ($options);62;75      $options['isAlbum'] = (trim($options['album']) == "") ? "false" : "true"##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/content.php&line_mark=75&line_end=75&variable_name=trim&text=File Functions#target_mark
ource;ajaxgallery.3.0/utils/content.php;str_replace;78;UNKNOWN;not executed;$gItem, option_id, $gItem, option_id, $options, $content;ajaxgallery ($gItem, option_id, $gItem, option_id, $options, $content);62;78      $content = str_replace('[ajax_gallery id='. $gItem->option_id .']', GBody($gItem->option_id, $options), $content)##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/content.php&line_mark=78&line_end=78&variable_name=str_replace&text=File Functions#target_mark
ource;ajaxgallery.3.0/utils/content.php;GBody;78;UNKNOWN;not executed;$gItem, option_id, $options;ajaxgallery ($gItem, option_id, $options);62;78      $content = str_replace('[ajax_gallery id='. $gItem->option_id .']', GBody($gItem->option_id, $options), $content)##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/content.php&line_mark=78&line_end=78&variable_name=GBody&text=File Functions#target_mark
ource;ajaxgallery.3.0/utils/content.php;print;87;Cross Site Scripting;not executed;;ag_head ();84;87    print "<link rel='stylesheet' href='$galleryurl/css/thickbox.css' type='text/css' media='screen' />\n"##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/content.php&line_mark=87&line_end=87&variable_name=print&text=File Functions#target_mark
ource;ajaxgallery.3.0/utils/content.php;print;88;Cross Site Scripting;not executed;;ag_head ();84;88    print "<link rel='stylesheet' href='$galleryurl/css/gallery.css' type='text/css' media='screen' />\n"##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/content.php&line_mark=88&line_end=88&variable_name=print&text=File Functions#target_mark
ource;ajaxgallery.3.0/utils/content.php;print;89;Cross Site Scripting;not executed;;ag_head ();84;89    print "<script type='text/javascript' src='$galleryurl/js/jquery.js'></script>\n"##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/content.php&line_mark=89&line_end=89&variable_name=print&text=File Functions#target_mark
ource;ajaxgallery.3.0/utils/content.php;print;90;Cross Site Scripting;not executed;;ag_head ();84;90    print "<script type='text/javascript' src='$galleryurl/js/thickbox.js'></script>\n"##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/content.php&line_mark=90&line_end=90&variable_name=print&text=File Functions#target_mark
ource;ajaxgallery.3.0/utils/content.php;print;91;Cross Site Scripting;not executed;;ag_head ();84;91    print "<script type='text/javascript' src='$galleryurl/js/gallery.js'></script>\n"##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/content.php&line_mark=91&line_end=91&variable_name=print&text=File Functions#target_mark
