PHP_PLUGIN;PHPI_FILE_BASE;PHPI_SENSITIVE_SINK;PHPI_LINE;PHPI_SENSITIVE_SINK_VULNERABILITY;executed_function_that_calls_the_function;parameters;function_that_calls_the_function;PHPI_START_LINE;lines_of_code;url_link
ource;ajaxgallery.3.0/utils/list.php;dirname;27;UNKNOWN;executed;;function ();1;27  include_once(dirname(__FILE__).'/../../../../' .'wp-config.php')##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/list.php&line_mark=27&line_end=27&variable_name=dirname&text=File Functions#target_mark
ource;ajaxgallery.3.0/utils/list.php;dirname;28;UNKNOWN;executed;;function ();1;28  include_once(dirname(__FILE__).'/../../../../' .'wp-includes/wp-db.php')##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/list.php&line_mark=28&line_end=28&variable_name=dirname&text=File Functions#target_mark
ource;ajaxgallery.3.0/utils/list.php;$wpdb->query;31;SQL Injection;executed;$wpdb, options, $_GET;function ($wpdb, options, $_GET);1;31    $wpdb->query( "DELETE FROM $wpdb->options WHERE option_name='agItem' and option_id=".$_GET['gId'] )##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/list.php&line_mark=31&line_end=31&variable_name=$wpdb->query&text=File Functions#target_mark
ource;ajaxgallery.3.0/utils/list.php;echo;32;Cross Site Scripting;executed;$wpdb, options;function ($wpdb, options);1;32    echo "<div id='message' class='updated fade'><p><strong>Galeria eliminada</strong></p></div>"##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/list.php&line_mark=32&line_end=32&variable_name=echo&text=File Functions#target_mark
ource;ajaxgallery.3.0/utils/list.php;$wpdb->get_results;54;UNKNOWN;executed;$wpdb, options;function ($wpdb, options);1;54      $gItems = $wpdb->get_results("SELECT * FROM $wpdb->options WHERE option_name='agItem'")##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/list.php&line_mark=54&line_end=54&variable_name=$wpdb->get_results&text=File Functions#target_mark
ource;ajaxgallery.3.0/utils/list.php;split;56;UNKNOWN;executed;$gItem, option_value;function ($gItem, option_value);1;56      $options = split( ":", $gItem->option_value )##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/list.php&line_mark=56&line_end=56&variable_name=split&text=File Functions#target_mark
ource;ajaxgallery.3.0/utils/list.php;echo;59;Cross Site Scripting;executed;;function ();1;59  		  <th scope="row" style="text-align: center"><?php echo $gItem->option_id##?></th>;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/list.php&line_mark=59&line_end=59&variable_name=echo&text=File Functions#target_mark
ource;ajaxgallery.3.0/utils/list.php;echo;60;Cross Site Scripting;executed;;function ();1;60  			<td><?php echo $options[0]## ?></td>;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/list.php&line_mark=60&line_end=60&variable_name=echo&text=File Functions#target_mark
ource;ajaxgallery.3.0/utils/list.php;echo;61;Cross Site Scripting;executed;;function ();1;61  			<td><?php echo $options[1]## ?></td>;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/list.php&line_mark=61&line_end=61&variable_name=echo&text=File Functions#target_mark
ource;ajaxgallery.3.0/utils/list.php;echo;62;Cross Site Scripting;executed;;function ();1;62  			<td><?php echo $options[2]## ?></td>;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/list.php&line_mark=62&line_end=62&variable_name=echo&text=File Functions#target_mark
