PHP_PLUGIN;PHPI_FILE_BASE;PHPI_SENSITIVE_SINK;PHPI_LINE;PHPI_SENSITIVE_SINK_VULNERABILITY;executed_function_that_calls_the_function;parameters;function_that_calls_the_function;PHPI_START_LINE;lines_of_code;url_link
ource;ajaxgallery.3.0/utils/options.php;dirname;27;UNKNOWN;executed;;function ();1;27  include_once(dirname(__FILE__).'/../../../../' .'wp-config.php')##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/options.php&line_mark=27&line_end=27&variable_name=dirname&text=File Functions#target_mark
ource;ajaxgallery.3.0/utils/options.php;dirname;28;UNKNOWN;executed;;function ();1;28  include_once(dirname(__FILE__).'/../../../../' .'wp-includes/wp-db.php')##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/options.php&line_mark=28&line_end=28&variable_name=dirname&text=File Functions#target_mark
ource;ajaxgallery.3.0/utils/options.php;trim;42;UNKNOWN;executed;$_POST;function ($_POST);1;42    $value = (isset($_POST['user']) && trim($_POST['user']) != ""? $_POST['user']      : "user" ) . ":"##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/options.php&line_mark=42&line_end=42&variable_name=trim&text=File Functions#target_mark
ource;ajaxgallery.3.0/utils/options.php;trim;43;UNKNOWN;executed;$_POST;function ($_POST);1;43    $value .= (isset($_POST['album']) && trim($_POST['album']) != "" ? filterAlbum($_POST['album'])  : "" ) . ":"##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/options.php&line_mark=43&line_end=43&variable_name=trim&text=File Functions#target_mark
ource;ajaxgallery.3.0/utils/options.php;filterAlbum;43;UNKNOWN;executed;$_POST;function ($_POST);1;43    $value .= (isset($_POST['album']) && trim($_POST['album']) != "" ? filterAlbum($_POST['album'])  : "" ) . ":"##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/options.php&line_mark=43&line_end=43&variable_name=filterAlbum&text=File Functions#target_mark
ource;ajaxgallery.3.0/utils/options.php;trim;44;UNKNOWN;executed;$_POST;function ($_POST);1;44    $value .= (isset($_POST['rows']) && trim($_POST['rows']) != "" ? $_POST['rows']    : "4" ) . ":"##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/options.php&line_mark=44&line_end=44&variable_name=trim&text=File Functions#target_mark
ource;ajaxgallery.3.0/utils/options.php;trim;45;UNKNOWN;executed;$_POST;function ($_POST);1;45    $value .= (isset($_POST['cols']) && trim($_POST['cols']) != "" ? $_POST['cols']    : "4" ) . ":"##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/options.php&line_mark=45&line_end=45&variable_name=trim&text=File Functions#target_mark
ource;ajaxgallery.3.0/utils/options.php;trim;46;UNKNOWN;executed;$_POST;function ($_POST);1;46    $value .= (isset($_POST['align']) && trim($_POST['align']) != "" ? $_POST['align']  : "center" ) . ":"##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/options.php&line_mark=46&line_end=46&variable_name=trim&text=File Functions#target_mark
ource;ajaxgallery.3.0/utils/options.php;trim;47;UNKNOWN;executed;$_POST;function ($_POST);1;47    $value .= (isset($_POST['pag']) && trim($_POST['pag']) != "" ? $_POST['pag']      : "0") . ":"##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/options.php&line_mark=47&line_end=47&variable_name=trim&text=File Functions#target_mark
ource;ajaxgallery.3.0/utils/options.php;trim;48;UNKNOWN;executed;$_POST;function ($_POST);1;48    $value .= (isset($_POST['showp']) && trim($_POST['showp']) != "" ? $_POST['showp']  : "true") . ":"##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/options.php&line_mark=48&line_end=48&variable_name=trim&text=File Functions#target_mark
ource;ajaxgallery.3.0/utils/options.php;trim;49;UNKNOWN;executed;$_POST;function ($_POST);1;49    $value .= (isset($_POST['thumbsize']) && trim($_POST['thumbsize']) != "" ? $_POST['thumbsize']  : "160")##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/options.php&line_mark=49&line_end=49&variable_name=trim&text=File Functions#target_mark
ource;ajaxgallery.3.0/utils/options.php;$wpdb->query;55;SQL Injection;executed;$sql;function ($sql);1;55    $wpdb->query($sql)##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/options.php&line_mark=55&line_end=55&variable_name=$wpdb->query&text=File Functions#target_mark
ource;ajaxgallery.3.0/utils/options.php;echo;58;Cross Site Scripting;executed;$_GET, $_POST;function ($_GET, $_POST);1;58      echo "<div id='message' class='updated fade'><p><strong>Opciones guardadas</strong></p></div>"##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/options.php&line_mark=58&line_end=58&variable_name=echo&text=File Functions#target_mark
ource;ajaxgallery.3.0/utils/options.php;echo;60;Cross Site Scripting;executed;$_GET, $_POST;function ($_GET, $_POST);1;60      echo "<div id='message' class='updated fade'><p><strong>Galeria creada</strong></p></div>"##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/options.php&line_mark=60&line_end=60&variable_name=echo&text=File Functions#target_mark
ource;ajaxgallery.3.0/utils/options.php;$wpdb->get_row;64;UNKNOWN;executed;$wpdb, options, $ggId;function ($wpdb, options, $ggId);1;64    $gItem = $wpdb->get_row("SELECT * FROM $wpdb->options WHERE option_name='agItem' and option_id=".$ggId)##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/options.php&line_mark=64&line_end=64&variable_name=$wpdb->get_row&text=File Functions#target_mark
ource;ajaxgallery.3.0/utils/options.php;split;65;UNKNOWN;executed;$gItem, option_value;function ($gItem, option_value);1;65    $gItemsopc = split( ":", $gItem->option_value )##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/options.php&line_mark=65&line_end=65&variable_name=split&text=File Functions#target_mark
ource;ajaxgallery.3.0/utils/options.php;trim;72;UNKNOWN;executed;$options;function ($options);1;72    $options['isAlbum'] = (trim($options['album']) == "") ? "false" : "true"##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/options.php&line_mark=72&line_end=72&variable_name=trim&text=File Functions#target_mark
ource;ajaxgallery.3.0/utils/options.php;echo;93;Cross Site Scripting;executed;$i, $i, $thumbsizes, $i;function ($i, $i, $thumbsizes, $i);1;93  <input name="user" type="text" value="<?php echo $options['user']##?>"  /> ;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/options.php&line_mark=93&line_end=93&variable_name=echo&text=File Functions#target_mark
