PHP_PLUGIN;PHPI_FILE_BASE;PHPI_FILE_AND_DIR;PHPI_INDEX;PHPI_NAME;PHPI_OBJECT;PHPI_CLASS;PHPI_SCOPE;PHPI_VARIABLE_FUNCTION;PHPI_EXIST_DESTROYED;PHPI_CODE_TYPE;PHPI_INPUT;PHPI_OUTPUT;PHPI_FUNCTION;PHPI_FILE;PHPI_LINE;PHPI_TAINTED;PHPI_VULNERABILITY;PHPI_START_INDEX;PHPI_END_INDEX;PHPI_DEPENDENCIES_INDEX;PHPI_VARIABLE_FILTER;PHPI_VARIABLE_REVERT_FILTER;PHPI_SENSITIVE_SINK;PHPI_SENSITIVE_SINK_VULNERABILITY;Data;Manually_verified;Link;piece_of_code;execution_time;memory
ajaxgallery.3.0;ajaxgallery.php;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
ajaxgallery.3.0;utils/content.php;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
ajaxgallery.3.0;utils/list.php;FE2e/source/ajaxgallery.3.0/utils/list.php;3;$_GET['gId'];;;local;variable;exist;php code;input;output;function;0;31;tainted;SQL Injection;56;59;30;;;$wpdb->query;SQL Injection;2022-05-21 12:51:30;0;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:\xampp74\htdocs\phpSAFE2e\source\ajaxgallery.3.0\utils\list.php&line_mark=31&line_end=30&variable_name=%24_GET[%27gId%27]&text=123#target_mark;25 ## Foundation, Inc., 51 Franklin Street, Fifth Floor, Boston, MA  02110-1301, USA.26 ## */27 ## include_once(dirname(__FILE__).'/../../../../' .'wp-config.php')#28 ## include_once(dirname(__FILE__).'/../../../../' .'wp-includes/wp-db.php')#29 ## 30 ## if( isset( $_GET[ 'delete' ]) && isset( $_GET['gId'] ) ){31 ##   $wpdb->query( "DELETE FROM $wpdb->options WHERE option_name='agItem' and option_id=".$_GET['gId'] )#;0.0039780139923096;191
ajaxgallery.3.0;utils/list.php;FE2e/source/ajaxgallery.3.0/utils/list.php;13;$gItem->option_id;$gItem;;local;variable;exist;php code;regular;output;function;0;59;tainted;Cross Site Scripting;106;108;55;;;echo;Cross Site Scripting;2022-05-21 12:51:30;0;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:\xampp74\htdocs\phpSAFE2e\source\ajaxgallery.3.0\utils\list.php&line_mark=59&line_end=58&variable_name=%24gItem->option_id&text=123#target_mark;53 ## 	<?php54 ##     $gItems = $wpdb->get_results("SELECT * FROM $wpdb->options WHERE option_name='agItem'")#55 ##     foreach ( $gItems as $gItem ){56 ##     $options = split( ":", $gItem->option_value )#57 ##   ?>58 ## 	  <tr id='post-371' class='alternate author-self status-publish'>59 ## 		  <th scope="row" style="text-align: center"><?php echo $gItem->option_id#?></th>;0.0039780139923096;191
ajaxgallery.3.0;utils/list.php;FE2e/source/ajaxgallery.3.0/utils/list.php;18;$gItem->option_id;$gItem;;local;variable;exist;php code;regular;output;function;0;64;tainted;Cross Site Scripting;150;152;55;;;echo;Cross Site Scripting;2022-05-21 12:51:30;0;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:\xampp74\htdocs\phpSAFE2e\source\ajaxgallery.3.0\utils\list.php&line_mark=64&line_end=63&variable_name=%24gItem->option_id&text=123#target_mark;58 ## 	  <tr id='post-371' class='alternate author-self status-publish'>59 ## 		  <th scope="row" style="text-align: center"><?php echo $gItem->option_id#?></th>60 ## 			<td><?php echo $options[0]# ?></td>61 ## 			<td><?php echo $options[1]# ?></td>62 ## 			<td><?php echo $options[2]# ?></td>63 ## 			<td><?php echo $options[3]# ?></td>64 ## 			<td>[ajax_gallery id=<?php echo $gItem->option_id# ?>]</td>;0.0039780139923096;191
ajaxgallery.3.0;utils/list.php;FE2e/source/ajaxgallery.3.0/utils/list.php;19;$gItem->option_id;$gItem;;local;variable;exist;php code;regular;output;function;0;65;tainted;Cross Site Scripting;158;160;55;;;echo;Cross Site Scripting;2022-05-21 12:51:30;0;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:\xampp74\htdocs\phpSAFE2e\source\ajaxgallery.3.0\utils\list.php&line_mark=65&line_end=64&variable_name=%24gItem->option_id&text=123#target_mark;59 ## 		  <th scope="row" style="text-align: center"><?php echo $gItem->option_id#?></th>60 ## 			<td><?php echo $options[0]# ?></td>61 ## 			<td><?php echo $options[1]# ?></td>62 ## 			<td><?php echo $options[2]# ?></td>63 ## 			<td><?php echo $options[3]# ?></td>64 ## 			<td>[ajax_gallery id=<?php echo $gItem->option_id# ?>]</td>65 ## 			<td><a href="admin.php?page=ajaxgallery/utils/options.php&gId=<?php echo $gItem->option_id#?>">Editar</a></td>;0.0039780139923096;191
ajaxgallery.3.0;utils/list.php;FE2e/source/ajaxgallery.3.0/utils/list.php;20;$gItem->option_id;$gItem;;local;variable;exist;php code;regular;output;function;0;66;tainted;Cross Site Scripting;166;168;55;;;echo;Cross Site Scripting;2022-05-21 12:51:30;0;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:\xampp74\htdocs\phpSAFE2e\source\ajaxgallery.3.0\utils\list.php&line_mark=66&line_end=65&variable_name=%24gItem->option_id&text=123#target_mark;60 ## 			<td><?php echo $options[0]# ?></td>61 ## 			<td><?php echo $options[1]# ?></td>62 ## 			<td><?php echo $options[2]# ?></td>63 ## 			<td><?php echo $options[3]# ?></td>64 ## 			<td>[ajax_gallery id=<?php echo $gItem->option_id# ?>]</td>65 ## 			<td><a href="admin.php?page=ajaxgallery/utils/options.php&gId=<?php echo $gItem->option_id#?>">Editar</a></td>66 ## 			<td><a href="admin.php?page=ajaxgallery/utils/list.php&gId=<?php echo $gItem->option_id#?>&delete">Eliminar</a></td>;0.0039780139923096;191
ajaxgallery.3.0;utils/options.php;FE2e/source/ajaxgallery.3.0/utils/options.php;62;$sql;;;local;variable;exist;php code;regular;output;function;0;55;tainted;SQL Injection;403;403;53;;;$wpdb->query;SQL Injection;2022-05-21 12:51:30;0;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:\xampp74\htdocs\phpSAFE2e\source\ajaxgallery.3.0\utils\options.php&line_mark=55&line_end=54&variable_name=%24sql&text=123#target_mark;49 ##   $value .= (isset($_POST['thumbsize']) && trim($_POST['thumbsize']) != "" ? $_POST['thumbsize']  : "160")#50 ##   if( isset( $_POST[ 'gId' ] ) ){51 ##     $sql = "UPDATE $wpdb->options SET option_value='$value' WHERE option_name='agItem' and option_id=".$_POST[ 'gId' ]#52 ##   }else{53 ##     $sql = "INSERT INTO $wpdb->options (option_name, option_value) VALUES('agItem','$value')"#54 ##   }55 ##   $wpdb->query($sql)#;0.064937114715576;758
ajaxgallery.3.0;utils/options.php;FE2e/source/ajaxgallery.3.0/utils/options.php;128;$ggId;;;local;variable;exist;php code;regular;output;function;0;164;tainted;Cross Site Scripting;872;872;160;;;echo;Cross Site Scripting;2022-05-21 12:51:30;0;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:\xampp74\htdocs\phpSAFE2e\source\ajaxgallery.3.0\utils\options.php&line_mark=164&line_end=163&variable_name=%24ggId&text=123#target_mark;158 ## <?php159 ## if( isset( $_GET[ 'gId' ]) || isset( $_POST['gId'] ) ){160 ## $ggId = isset( $_GET[ 'gId' ]) ? $_GET[ 'gId' ] : $_POST['gId']#161 ## ?>162 ## <p>163 ## <label>164 ## <textarea>[ajax_gallery id=<?php echo $ggId#?>]</textarea><br>;0.064937114715576;758
ajaxgallery.3.0;utils/options.php;FE2e/source/ajaxgallery.3.0/utils/options.php;129;$ggId;;;local;variable;exist;php code;regular;output;function;0;169;tainted;Cross Site Scripting;878;878;164;;;echo;Cross Site Scripting;2022-05-21 12:51:30;0;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:\xampp74\htdocs\phpSAFE2e\source\ajaxgallery.3.0\utils\options.php&line_mark=169&line_end=168&variable_name=%24ggId&text=123#target_mark;163 ## <label>164 ## <textarea>[ajax_gallery id=<?php echo $ggId#?>]</textarea><br>165 ## Codigo<br>166 ## Copiar y pegar167 ##    </label>168 ## </p>169 ## <input name="gId" type="hidden" value="<?php echo $ggId#?>"  /> ;0.064937114715576;758
