PHP_PLUGIN;PHPI_FILE_BASE;PHPI_SENSITIVE_SINK;PHPI_LINE;PHPI_SENSITIVE_SINK_VULNERABILITY;executed_function_that_calls_the_function;parameters;function_that_calls_the_function;PHPI_START_LINE;lines_of_code;url_link
ource;calendar.1.3.3/calendar.php;basename;29;UNKNOWN;executed;;function ();1;29  $plugin_dir = basename(dirname(__FILE__))##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/calendar.1.3.3/calendar.php&line_mark=29&line_end=29&variable_name=basename&text=File Functions#target_mark
ource;calendar.1.3.3/calendar.php;dirname;29;UNKNOWN;executed;;function ();1;29  $plugin_dir = basename(dirname(__FILE__))##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/calendar.1.3.3/calendar.php&line_mark=29&line_end=29&variable_name=dirname&text=File Functions#target_mark
ource;calendar.1.3.3/calendar.php;load_plugin_textdomain;30;UNKNOWN;executed;$plugin_dir, $plugin_dir;function ($plugin_dir, $plugin_dir);1;30  load_plugin_textdomain( 'calendar','wp-content/plugins/'.$plugin_dir, $plugin_dir)##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/calendar.1.3.3/calendar.php&line_mark=30&line_end=30&variable_name=load_plugin_textdomain&text=File Functions#target_mark
ource;calendar.1.3.3/calendar.php;define;34;UNKNOWN;executed;$wpdb, prefix;function ($wpdb, prefix);1;34  define('WP_CALENDAR_TABLE', $wpdb->prefix . 'calendar')##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/calendar.1.3.3/calendar.php&line_mark=34&line_end=34&variable_name=define&text=File Functions#target_mark
ource;calendar.1.3.3/calendar.php;define;35;UNKNOWN;executed;$wpdb, prefix;function ($wpdb, prefix);1;35  define('WP_CALENDAR_CONFIG_TABLE', $wpdb->prefix . 'calendar_config')##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/calendar.1.3.3/calendar.php&line_mark=35&line_end=35&variable_name=define&text=File Functions#target_mark
ource;calendar.1.3.3/calendar.php;define;36;UNKNOWN;executed;$wpdb, prefix;function ($wpdb, prefix);1;36  define('WP_CALENDAR_CATEGORIES_TABLE', $wpdb->prefix . 'calendar_categories')##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/calendar.1.3.3/calendar.php&line_mark=36&line_end=36&variable_name=define&text=File Functions#target_mark
ource;calendar.1.3.3/calendar.php;check_calendar;40;UNKNOWN;executed;;function ();1;40  check_calendar()##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/calendar.1.3.3/calendar.php&line_mark=40&line_end=40&variable_name=check_calendar&text=File Functions#target_mark
ource;calendar.1.3.3/calendar.php;add_action;43;UNKNOWN;executed;;function ();1;43  add_action('admin_menu', 'calendar_menu')##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/calendar.1.3.3/calendar.php&line_mark=43&line_end=43&variable_name=add_action&text=File Functions#target_mark
ource;calendar.1.3.3/calendar.php;add_filter;46;UNKNOWN;executed;;function ();1;46  add_filter('the_content','calendar_insert')##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/calendar.1.3.3/calendar.php&line_mark=46&line_end=46&variable_name=add_filter&text=File Functions#target_mark
ource;calendar.1.3.3/calendar.php;add_filter;47;UNKNOWN;executed;;function ();1;47  add_filter('the_content','minical_insert')##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/calendar.1.3.3/calendar.php&line_mark=47&line_end=47&variable_name=add_filter&text=File Functions#target_mark
