PHP_PLUGIN;PHPI_FILE_BASE;PHPI_FILE_AND_DIR;PHPI_INDEX;PHPI_NAME;PHPI_OBJECT;PHPI_CLASS;PHPI_SCOPE;PHPI_VARIABLE_FUNCTION;PHPI_EXIST_DESTROYED;PHPI_CODE_TYPE;PHPI_INPUT;PHPI_OUTPUT;PHPI_FUNCTION;PHPI_FILE;PHPI_LINE;PHPI_TAINTED;PHPI_VULNERABILITY;PHPI_START_INDEX;PHPI_END_INDEX;PHPI_DEPENDENCIES_INDEX;PHPI_VARIABLE_FILTER;PHPI_VARIABLE_REVERT_FILTER;PHPI_SENSITIVE_SINK;PHPI_SENSITIVE_SINK_VULNERABILITY;Data;Manually_verified;Link;piece_of_code;execution_time;memory
calendar.1.3.3;calendar.php;AFE2e/source/calendar.1.3.3/calendar.php;202;$cur_cat->category_id ;;;local;function;exist;php code;regular;output;manage_categories;0;1889;tainted;Possible Cross Site Scripting;7086;7090;1889;;stripslashes;stripslashes;Cross Site Scripting;2022-05-21 12:51:37;0;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:\xampp74\htdocs\phpSAFE2e\source\calendar.1.3.3\calendar.php&line_mark=1889&line_end=1888&variable_name=%24cur_cat->category_id &text=123#target_mark;1883 ##       $cur_cat = $wpdb->get_row($sql)#1884 ##       ?>1885 ## <div class="wrap">1886 ##    <h2><?php _e('Edit Category','calendar')# ?></h2>1887 ##     <form name="catform" id="catform" class="wrap" method="post" action="<?php echo bloginfo('wpurl')# ?>/wp-admin/admin.php?page=calendar-categories">1888 ##                 <input type="hidden" name="mode" value="edit" />1889 ##                 <input type="hidden" name="category_id" value="<?php echo stripslashes($cur_cat->category_id) ?>" />;6.5552849769592;10356
calendar.1.3.3;calendar.php;AFE2e/source/calendar.1.3.3/calendar.php;208;$cur_cat->category_name ;;;local;function;exist;php code;regular;output;manage_categories;0;1896;tainted;Possible Cross Site Scripting;7121;7125;1896;;stripslashes;stripslashes;Cross Site Scripting;2022-05-21 12:51:37;0;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:\xampp74\htdocs\phpSAFE2e\source\calendar.1.3.3\calendar.php&line_mark=1896&line_end=1895&variable_name=%24cur_cat->category_name &text=123#target_mark;1890 ## 		<?php wp_nonce_field('calendar-category_edit_'.stripslashes($cur_cat->category_id))# ?>1891 ##                 <div id="linkadvanceddiv" class="postbox">1892 ##                         <div style="float: left# width: 98%# clear: both#" class="inside">1893 ## 				<table cellpadding="5" cellspacing="5">1894 ##                                 <tr>1895 ## 				<td><legend><?php _e('Category Name','calendar')# ?>:</legend></td>1896 ##                                 <td><input type="text" name="category_name" class="input" size="30" maxlength="30" value="<?php echo stripslashes($cur_cat->category_name) ?>" /></td>;6.5552849769592;10356
calendar.1.3.3;calendar.php;AFE2e/source/calendar.1.3.3/calendar.php;211;$cur_cat->category_colour ;;;local;function;exist;php code;regular;output;manage_categories;0;1900;tainted;Possible Cross Site Scripting;7141;7145;1900;;stripslashes;stripslashes;Cross Site Scripting;2022-05-21 12:51:37;0;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:\xampp74\htdocs\phpSAFE2e\source\calendar.1.3.3\calendar.php&line_mark=1900&line_end=1899&variable_name=%24cur_cat->category_colour &text=123#target_mark;1894 ##                                 <tr>1895 ## 				<td><legend><?php _e('Category Name','calendar')# ?>:</legend></td>1896 ##                                 <td><input type="text" name="category_name" class="input" size="30" maxlength="30" value="<?php echo stripslashes($cur_cat->category_name) ?>" /></td>1897 ## 				</tr>1898 ##                                 <tr>1899 ## 				<td><legend><?php _e('Category Colour (Hex format)','calendar')# ?>:</legend></td>1900 ##                                 <td><input type="text" name="category_colour" class="input" size="10" maxlength="7" value="<?php echo stripslashes($cur_cat->category_colour) ?>" /></td>;6.5552849769592;10356
calendar.1.3.3;calendar.php;AFE2e/source/calendar.1.3.3/calendar.php;298;$category->category_id ;;;local;function;exist;php code;regular;output;manage_categories;0;1990;tainted;Possible Cross Site Scripting;7556;7560;1990;;stripslashes;stripslashes;Cross Site Scripting;2022-05-21 12:51:37;0;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:\xampp74\htdocs\phpSAFE2e\source\calendar.1.3.3\calendar.php&line_mark=1990&line_end=1989&variable_name=%24category->category_id &text=123#target_mark;1984 ##        $class = ''#1985 ##        foreach ( $categories as $category )1986 ##          {1987 ## 	   $class = ($class == 'alternate') ? '' : 'alternate'#1988 ##            ?>1989 ##            <tr class="<?php echo $class# ?>">1990 ## 	     <th scope="row"><?php echo stripslashes($category->category_id)# ?></th>;6.5552849769592;10356
calendar.1.3.3;calendar.php;AFE2e/source/calendar.1.3.3/calendar.php;300;$category->category_name ;;;local;function;exist;php code;regular;output;manage_categories;0;1991;tainted;Possible Cross Site Scripting;7567;7571;1991;;stripslashes;stripslashes;Cross Site Scripting;2022-05-21 12:51:37;0;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:\xampp74\htdocs\phpSAFE2e\source\calendar.1.3.3\calendar.php&line_mark=1991&line_end=1990&variable_name=%24category->category_name &text=123#target_mark;1985 ##        foreach ( $categories as $category )1986 ##          {1987 ## 	   $class = ($class == 'alternate') ? '' : 'alternate'#1988 ##            ?>1989 ##            <tr class="<?php echo $class# ?>">1990 ## 	     <th scope="row"><?php echo stripslashes($category->category_id)# ?></th>1991 ## 	     <td><?php echo stripslashes($category->category_name)# ?></td>;6.5552849769592;10356
calendar.1.3.3;calendar.php;AFE2e/source/calendar.1.3.3/calendar.php;302;$category->category_colour ;;;local;function;exist;php code;regular;output;manage_categories;0;1992;tainted;Possible Cross Site Scripting;7578;7582;1992;;stripslashes;stripslashes;Cross Site Scripting;2022-05-21 12:51:37;0;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:\xampp74\htdocs\phpSAFE2e\source\calendar.1.3.3\calendar.php&line_mark=1992&line_end=1991&variable_name=%24category->category_colour &text=123#target_mark;1986 ##          {1987 ## 	   $class = ($class == 'alternate') ? '' : 'alternate'#1988 ##            ?>1989 ##            <tr class="<?php echo $class# ?>">1990 ## 	     <th scope="row"><?php echo stripslashes($category->category_id)# ?></th>1991 ## 	     <td><?php echo stripslashes($category->category_name)# ?></td>1992 ## 	     <td style="background-color:<?php echo stripslashes($category->category_colour)# ?>#">&nbsp#</td>;6.5552849769592;10356
calendar.1.3.3;calendar.php;AFE2e/source/calendar.1.3.3/calendar.php;305;$category->category_id ;;;local;function;exist;php code;regular;output;manage_categories;0;1993;tainted;Possible Cross Site Scripting;7597;7601;1993;;stripslashes;stripslashes;Cross Site Scripting;2022-05-21 12:51:37;0;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:\xampp74\htdocs\phpSAFE2e\source\calendar.1.3.3\calendar.php&line_mark=1993&line_end=1992&variable_name=%24category->category_id &text=123#target_mark;1987 ## 	   $class = ($class == 'alternate') ? '' : 'alternate'#1988 ##            ?>1989 ##            <tr class="<?php echo $class# ?>">1990 ## 	     <th scope="row"><?php echo stripslashes($category->category_id)# ?></th>1991 ## 	     <td><?php echo stripslashes($category->category_name)# ?></td>1992 ## 	     <td style="background-color:<?php echo stripslashes($category->category_colour)# ?>#">&nbsp#</td>1993 ## 	     <td><a href="<?php echo bloginfo('wpurl')  ?>/wp-admin/admin.php?page=calendar-categories&amp#mode=edit&amp#category_id=<?php echo stripslashes($category->category_id)#?>" class='edit'><?php echo __('Edit','calendar')# ?></a></td>;6.5552849769592;10356
calendar.1.3.3;calendar.php;AFE2e/source/calendar.1.3.3/calendar.php;314;bloginfo, $category->category_id , $category->category_id  ;;;local;function;exist;php code;regular;output;manage_categories;0;2002;tainted;Possible Cross Site Scripting;7646;7669;2002,2002,2002;;;wp_nonce_url;UNKNOWN;2022-05-21 12:51:37;0;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:\xampp74\htdocs\phpSAFE2e\source\calendar.1.3.3\calendar.php&line_mark=2002&line_end=2001&variable_name=bloginfo, %24category->category_id , %24category->category_id  &text=123#target_mark;1996 ## 	       {1997 ## 		 echo '<td>'.__('N/A','calendar').'</td>'#1998 ## 	       }1999 ##              else2000 ## 	       {2001 ##                ?>2002 ##                <td><a href="<?php echo wp_nonce_url(bloginfo('wpurl').'/wp-admin/admin.php?page=calendar-categories&amp#mode=delete&amp#category_id='.stripslashes($category->category_id), 'calendar-category_delete_'.stripslashes($category->category_id))# ?>" class="delete" onclick="return confirm('<?php echo __('Are you sure you want to delete this category?','calendar')# ?>')"><?php echo __('Delete','calendar')# ?></a></td>;6.5552849769592;10356
calendar.1.3.3;calendar.php;AFE2e/source/calendar.1.3.3/calendar.php;511;$upcoming_days;;;local;variable;exist;php code;regular;output;edit_calendar_config;0;1787;tainted;Cross Site Scripting;6654;6654;1676;;;echo;Cross Site Scripting;2022-05-21 12:51:37;0;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:\xampp74\htdocs\phpSAFE2e\source\calendar.1.3.3\calendar.php&line_mark=1787&line_end=1786&variable_name=%24upcoming_days&text=123#target_mark;1781 ##                                 <tr>1782 ## 				<td><legend><?php _e('Display upcoming events?','calendar')# ?></legend></td>1783 ##                                 <td>    <select name="display_upcoming">1784 ## 						<option value="on" <?php echo $yes_disp_upcoming ?>><?php _e('Yes','calendar') ?></option>1785 ## 						<option value="off" <?php echo $no_disp_upcoming ?>><?php _e('No','calendar') ?></option>1786 ##                                     </select>1787 ## 				    <?php _e('for','calendar')# ?> <input type="text" name="display_upcoming_days" value="<?php echo $upcoming_days ?>" size="1" maxlength="2" /> <?php _e('days into the future','calendar')# ?>;6.5552849769592;10356
calendar.1.3.3;calendar.php;AFE2e/source/calendar.1.3.3/calendar.php;519;$calendar_style;;;local;variable;exist;php code;regular;output;edit_calendar_config;0;1800;tainted;Cross Site Scripting;6717;6717;1600;;;echo;Cross Site Scripting;2022-05-21 12:51:37;0;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:\xampp74\htdocs\phpSAFE2e\source\calendar.1.3.3\calendar.php&line_mark=1800&line_end=1799&variable_name=%24calendar_style&text=123#target_mark;1794 ## 						<option value="off" <?php echo $no_enable_categories ?>><?php _e('No','calendar') ?></option>1795 ##                                     </select>1796 ##                                 </td>1797 ##                                 </tr>1798 ##                                 <tr>1799 ## 				<td style="vertical-align:top#"><legend><?php _e('Configure the stylesheet for Calendar','calendar')# ?></legend></td>1800 ## 				<td><textarea name="style" rows="10" cols="60" tabindex="2"><?php echo $calendar_style# ?></textarea><br />;6.5552849769592;10356
