PHP_PLUGIN;PHPI_FILE_BASE;PHPI_SENSITIVE_SINK;PHPI_LINE;PHPI_SENSITIVE_SINK_VULNERABILITY;executed_function_that_calls_the_function;parameters;function_that_calls_the_function;PHPI_START_LINE;lines_of_code;url_link
ource;couponer.1.2/couponer.php;class_exists;13;UNKNOWN;executed;;function ();1;13  if (!class_exists("Couponer")) {;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/couponer.php&line_mark=13&line_end=13&variable_name=class_exists&text=File Functions#target_mark
ource;couponer.1.2/couponer.php;add_shortcode;392;UNKNOWN;executed;;function ();1;392  add_shortcode( 'display_coupons', 'display_coupons' )##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/couponer.php&line_mark=392&line_end=392&variable_name=add_shortcode&text=File Functions#target_mark
ource;couponer.1.2/couponer.php;class_exists;394;UNKNOWN;executed;;function ();1;394  if (class_exists("Couponer")) {;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/couponer.php&line_mark=394&line_end=394&variable_name=class_exists&text=File Functions#target_mark
ource;couponer.1.2/couponer.php;Couponer;395;UNKNOWN;executed;;function ();1;395  	$dl_pluginSeries = new Couponer()##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/couponer.php&line_mark=395&line_end=395&variable_name=Couponer&text=File Functions#target_mark
ource;couponer.1.2/couponer.php;register_activation_hook;52;UNKNOWN;not executed;;Couponer ();15;52  			register_activation_hook(__FILE__,'couponer_install')##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/couponer.php&line_mark=52&line_end=52&variable_name=register_activation_hook&text=File Functions#target_mark
ource;couponer.1.2/couponer.php;add_action;55;UNKNOWN;not executed;;Couponer ();15;55  			add_action('admin_menu', 'couponer_menu')##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/couponer.php&line_mark=55&line_end=55&variable_name=add_action&text=File Functions#target_mark
ource;couponer.1.2/couponer.php;get_bloginfo;24;UNKNOWN;not executed;;couponer_install ();20;24  				$logo = get_bloginfo('url') . '/wp-content/plugins/couponer/images/logo60x30.gif'##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/couponer.php&line_mark=24&line_end=24&variable_name=get_bloginfo&text=File Functions#target_mark
ource;couponer.1.2/couponer.php;add_option;25;UNKNOWN;not executed;$logo;couponer_install ($logo);20;25  				add_option('Couponer_Logo', $logo)##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/couponer.php&line_mark=25&line_end=25&variable_name=add_option&text=File Functions#target_mark
ource;couponer.1.2/couponer.php;$wpdb->get_var;28;UNKNOWN;not executed;$table_name;couponer_install ($table_name);20;28  			   if($wpdb->get_var("show tables like '$table_name'") != $table_name) {;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/couponer.php&line_mark=28&line_end=28&variable_name=$wpdb->get_var&text=File Functions#target_mark
ource;couponer.1.2/couponer.php;dbDelta;43;UNKNOWN;not executed;$sql;couponer_install ($sql);20;43  			      dbDelta($sql)##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/couponer.php&line_mark=43&line_end=43&variable_name=dbDelta&text=File Functions#target_mark
ource;couponer.1.2/couponer.php;$wpdb->insert;45;SQL Injection;not executed;$table_name, $welcome_name, $welcome_text;couponer_install ($table_name, $welcome_name, $welcome_text);20;45  			      $rows_affected = $wpdb->insert( $table_name, array( 'time' => current_time('mysql'), 'name' => $welcome_name, 'text' => $welcome_text ) )##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/couponer.php&line_mark=45&line_end=45&variable_name=$wpdb->insert&text=File Functions#target_mark
ource;couponer.1.2/couponer.php;current_time;45;UNKNOWN;not executed;;couponer_install ();20;45  			      $rows_affected = $wpdb->insert( $table_name, array( 'time' => current_time('mysql'), 'name' => $welcome_name, 'text' => $welcome_text ) )##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/couponer.php&line_mark=45&line_end=45&variable_name=current_time&text=File Functions#target_mark
ource;couponer.1.2/couponer.php;add_option;47;UNKNOWN;not executed;$couponer_db_version;couponer_install ($couponer_db_version);20;47  			      add_option("couponer_db_version", $couponer_db_version)##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/couponer.php&line_mark=47&line_end=47&variable_name=add_option&text=File Functions#target_mark
ource;couponer.1.2/couponer.php;add_options_page;58;UNKNOWN;not executed;;couponer_menu ();57;58  					add_options_page('Couponer Options', 'Couponer', 'manage_options', 'couponer', 'couponer_options')##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/couponer.php&line_mark=58&line_end=58&variable_name=add_options_page&text=File Functions#target_mark
ource;couponer.1.2/couponer.php;current_user_can;62;UNKNOWN;not executed;;couponer_options ();61;62  					if (!current_user_can('manage_options'))  {;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/couponer.php&line_mark=62&line_end=62&variable_name=current_user_can&text=File Functions#target_mark
ource;couponer.1.2/couponer.php;wp_die;63;UNKNOWN;not executed;;couponer_options ();61;63  						wp_die( __('You do not have sufficient permissions to access this page.') )##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/couponer.php&line_mark=63&line_end=63&variable_name=wp_die&text=File Functions#target_mark
ource;couponer.1.2/couponer.php;__;63;Cross Site Scripting;not executed;;couponer_options ();61;63  						wp_die( __('You do not have sufficient permissions to access this page.') )##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/couponer.php&line_mark=63&line_end=63&variable_name=__&text=File Functions#target_mark
ource;couponer.1.2/couponer.php;echo;65;Cross Site Scripting;not executed;;couponer_options ();61;65  					echo '<div class="wrap">'##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/couponer.php&line_mark=65&line_end=65&variable_name=echo&text=File Functions#target_mark
ource;couponer.1.2/couponer.php;bloginfo;73;UNKNOWN;not executed;;couponer_options ();61;73  										<form action="<?php bloginfo('url')## ?>/wp-content/plugins/couponer/add-coupon.php" method="post">;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/couponer.php&line_mark=73&line_end=73&variable_name=bloginfo&text=File Functions#target_mark
ource;couponer.1.2/couponer.php;echo;173;Cross Site Scripting;not executed;;couponer_options ();61;173  											<img src="<?php echo get_option('Couponer_Logo')## ?>" alt="<?php echo get_option('Couponer_Logo')## ?>" />;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/couponer.php&line_mark=173&line_end=173&variable_name=echo&text=File Functions#target_mark
ource;couponer.1.2/couponer.php;get_option;173;UNKNOWN;not executed;;couponer_options ();61;173  											<img src="<?php echo get_option('Couponer_Logo')## ?>" alt="<?php echo get_option('Couponer_Logo')## ?>" />;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/couponer.php&line_mark=173&line_end=173&variable_name=get_option&text=File Functions#target_mark
ource;couponer.1.2/couponer.php;echo;173;Cross Site Scripting;not executed;;couponer_options ();61;173  											<img src="<?php echo get_option('Couponer_Logo')## ?>" alt="<?php echo get_option('Couponer_Logo')## ?>" />;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/couponer.php&line_mark=173&line_end=173&variable_name=echo&text=File Functions#target_mark
ource;couponer.1.2/couponer.php;get_option;173;UNKNOWN;not executed;;couponer_options ();61;173  											<img src="<?php echo get_option('Couponer_Logo')## ?>" alt="<?php echo get_option('Couponer_Logo')## ?>" />;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/couponer.php&line_mark=173&line_end=173&variable_name=get_option&text=File Functions#target_mark
