PHP_PLUGIN;PHPI_FILE_BASE;PHPI_SENSITIVE_SINK;PHPI_LINE;PHPI_SENSITIVE_SINK_VULNERABILITY;executed_function_that_calls_the_function;parameters;function_that_calls_the_function;PHPI_START_LINE;lines_of_code;url_link
ource;couponer.1.2/print-coupon.php;echo;7;Cross Site Scripting;executed;;function ();1;7  		echo '<link type="text/css" rel="stylesheet" href="' . get_bloginfo('url') . '/wp-content/plugins/couponer/couponer.css" />'##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/print-coupon.php&line_mark=7&line_end=7&variable_name=echo&text=File Functions#target_mark
ource;couponer.1.2/print-coupon.php;get_bloginfo;7;UNKNOWN;executed;;function ();1;7  		echo '<link type="text/css" rel="stylesheet" href="' . get_bloginfo('url') . '/wp-content/plugins/couponer/couponer.css" />'##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/print-coupon.php&line_mark=7&line_end=7&variable_name=get_bloginfo&text=File Functions#target_mark
ource;couponer.1.2/print-coupon.php;mysql_query;10;SQL Injection;executed;$sql_get_coupon_id;function ($sql_get_coupon_id);1;10  		$result_get_coupon_id = mysql_query($sql_get_coupon_id)##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/print-coupon.php&line_mark=10&line_end=10&variable_name=mysql_query&text=File Functions#target_mark
ource;couponer.1.2/print-coupon.php;echo;12;Cross Site Scripting;executed;$result_get_coupon_id;function ($result_get_coupon_id);1;12  		    echo '<tr><td colspan="7">Could not successfully run query ($sql_get_coupon_id) from DB: </strong>" . mysql_error()."</td></tr>'##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/print-coupon.php&line_mark=12&line_end=12&variable_name=echo&text=File Functions#target_mark
ource;couponer.1.2/print-coupon.php;mysql_num_rows;14;UNKNOWN;executed;$result_get_coupon_id;function ($result_get_coupon_id);1;14  		if (mysql_num_rows($result_get_coupon_id) == 0) {;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/print-coupon.php&line_mark=14&line_end=14&variable_name=mysql_num_rows&text=File Functions#target_mark
ource;couponer.1.2/print-coupon.php;echo;15;Cross Site Scripting;executed;$row_get_coupon_id, $result_get_coupon_id;function ($row_get_coupon_id, $result_get_coupon_id);1;15  			echo '<tr><td colspan="7">You do not have any active coupons.</td></tr>'##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/print-coupon.php&line_mark=15&line_end=15&variable_name=echo&text=File Functions#target_mark
ource;couponer.1.2/print-coupon.php;mysql_fetch_assoc;17;UNKNOWN;executed;$result_get_coupon_id;function ($result_get_coupon_id);1;17  		while ($row_get_coupon_id = mysql_fetch_assoc($result_get_coupon_id)) {;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/print-coupon.php&line_mark=17&line_end=17&variable_name=mysql_fetch_assoc&text=File Functions#target_mark
ource;couponer.1.2/print-coupon.php;echo;25;Cross Site Scripting;executed;;function ();1;25  									<h4><?php echo $row_get_coupon_id['Title']## ?></h4>;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/print-coupon.php&line_mark=25&line_end=25&variable_name=echo&text=File Functions#target_mark
ource;couponer.1.2/print-coupon.php;echo;30;Cross Site Scripting;executed;;function ();1;30  									<?php echo $row_get_coupon_id['Description']## ?>;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/print-coupon.php&line_mark=30&line_end=30&variable_name=echo&text=File Functions#target_mark
ource;couponer.1.2/print-coupon.php;echo;33;Cross Site Scripting;executed;;function ();1;33  									<img src="<?php echo $row_get_coupon_id['Image']## ?>" />;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/print-coupon.php&line_mark=33&line_end=33&variable_name=echo&text=File Functions#target_mark
ource;couponer.1.2/print-coupon.php;echo;38;Cross Site Scripting;executed;;function ();1;38  									<img src="<?php echo get_option('Couponer_Logo')## ?>" alt="<?php echo bloginfo('name')## ?>" />;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/print-coupon.php&line_mark=38&line_end=38&variable_name=echo&text=File Functions#target_mark
ource;couponer.1.2/print-coupon.php;get_option;38;UNKNOWN;executed;;function ();1;38  									<img src="<?php echo get_option('Couponer_Logo')## ?>" alt="<?php echo bloginfo('name')## ?>" />;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/print-coupon.php&line_mark=38&line_end=38&variable_name=get_option&text=File Functions#target_mark
ource;couponer.1.2/print-coupon.php;echo;38;Cross Site Scripting;executed;;function ();1;38  									<img src="<?php echo get_option('Couponer_Logo')## ?>" alt="<?php echo bloginfo('name')## ?>" />;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/print-coupon.php&line_mark=38&line_end=38&variable_name=echo&text=File Functions#target_mark
ource;couponer.1.2/print-coupon.php;bloginfo;38;UNKNOWN;executed;;function ();1;38  									<img src="<?php echo get_option('Couponer_Logo')## ?>" alt="<?php echo bloginfo('name')## ?>" />;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/print-coupon.php&line_mark=38&line_end=38&variable_name=bloginfo&text=File Functions#target_mark
ource;couponer.1.2/print-coupon.php;echo;39;Cross Site Scripting;executed;$result_get_coupon_id;function ($result_get_coupon_id);1;39  									* <?php echo $row_get_coupon_id['Terms']## ?>;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/print-coupon.php&line_mark=39&line_end=39&variable_name=echo&text=File Functions#target_mark
ource;couponer.1.2/print-coupon.php;echo;41;Cross Site Scripting;executed;$result_get_coupon_id;function ($result_get_coupon_id);1;41  									ID# <?php echo $row_get_coupon_id['ID']## ?> Exp. <?php echo $row_get_coupon_id['Expires']## ?>;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/print-coupon.php&line_mark=41&line_end=41&variable_name=echo&text=File Functions#target_mark
ource;couponer.1.2/print-coupon.php;echo;41;Cross Site Scripting;executed;$result_get_coupon_id;function ($result_get_coupon_id);1;41  									ID# <?php echo $row_get_coupon_id['ID']## ?> Exp. <?php echo $row_get_coupon_id['Expires']## ?>;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/print-coupon.php&line_mark=41&line_end=41&variable_name=echo&text=File Functions#target_mark
