PHP_PLUGIN;PHPI_FILE_BASE;PHPI_SENSITIVE_SINK;PHPI_LINE;PHPI_SENSITIVE_SINK_VULNERABILITY;executed_function_that_calls_the_function;parameters;function_that_calls_the_function;PHPI_START_LINE;lines_of_code;url_link
ource;couponer.1.2/process-coupon.php;echo;5;Cross Site Scripting;executed;$_GET;function ($_GET);1;5  echo '<div id="couponer_working" style="width:100%##height:100%##padding-top:100px##text-align:center##"><img src="images/working.gif" /><br /><br />Please Wait... Processing Your Request.</div>'##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/process-coupon.php&line_mark=5&line_end=5&variable_name=echo&text=File Functions#target_mark
ource;couponer.1.2/process-coupon.php;mysql_real_escape_string;12;UNKNOWN;executed;$_GET;function ($_GET);1;12        $delete_coupon = "DELETE FROM wp_couponer WHERE ID='" . mysql_real_escape_string($_GET['ID']) . "'"##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/process-coupon.php&line_mark=12&line_end=12&variable_name=mysql_real_escape_string&text=File Functions#target_mark
ource;couponer.1.2/process-coupon.php;mysql_query;14;SQL Injection;executed;$delete_coupon;function ($delete_coupon);1;14        mysql_query($delete_coupon)##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/process-coupon.php&line_mark=14&line_end=14&variable_name=mysql_query&text=File Functions#target_mark
ource;couponer.1.2/process-coupon.php;echo;19;Cross Site Scripting;executed;;function ();1;19  	    echo '<META HTTP-EQUIV="Refresh" Content="0## URL='.get_bloginfo("url").'/wp-admin/options-general.php?page=couponer">'##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/process-coupon.php&line_mark=19&line_end=19&variable_name=echo&text=File Functions#target_mark
ource;couponer.1.2/process-coupon.php;get_bloginfo;19;UNKNOWN;executed;;function ();1;19  	    echo '<META HTTP-EQUIV="Refresh" Content="0## URL='.get_bloginfo("url").'/wp-admin/options-general.php?page=couponer">'##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/process-coupon.php&line_mark=19&line_end=19&variable_name=get_bloginfo&text=File Functions#target_mark
ource;couponer.1.2/process-coupon.php;exit;20;Cross Site Scripting;executed;$_GET;function ($_GET);1;20  	    exit##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/process-coupon.php&line_mark=20&line_end=20&variable_name=exit&text=File Functions#target_mark
ource;couponer.1.2/process-coupon.php;mysql_real_escape_string;28;UNKNOWN;executed;$_GET;function ($_GET);1;28        $deactivate_coupon = "UPDATE wp_couponer SET Active='0' WHERE ID='" . mysql_real_escape_string($_GET['ID']) . "'"##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/process-coupon.php&line_mark=28&line_end=28&variable_name=mysql_real_escape_string&text=File Functions#target_mark
ource;couponer.1.2/process-coupon.php;mysql_query;30;SQL Injection;executed;$deactivate_coupon;function ($deactivate_coupon);1;30        mysql_query($deactivate_coupon)##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/process-coupon.php&line_mark=30&line_end=30&variable_name=mysql_query&text=File Functions#target_mark
ource;couponer.1.2/process-coupon.php;echo;36;Cross Site Scripting;executed;;function ();1;36  	    echo '<META HTTP-EQUIV="Refresh" Content="0## URL='.get_bloginfo("url").'/wp-admin/options-general.php?page=couponer">'##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/process-coupon.php&line_mark=36&line_end=36&variable_name=echo&text=File Functions#target_mark
ource;couponer.1.2/process-coupon.php;get_bloginfo;36;UNKNOWN;executed;;function ();1;36  	    echo '<META HTTP-EQUIV="Refresh" Content="0## URL='.get_bloginfo("url").'/wp-admin/options-general.php?page=couponer">'##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/process-coupon.php&line_mark=36&line_end=36&variable_name=get_bloginfo&text=File Functions#target_mark
